Stock quote and option quote for ABNB on 3/13/22 23:37:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
145.14,Q,-6.66,144.51,P,145.18,P,1 x 1,"4,577,255",154.13,155.00,145.00

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"208,903",<empty>,-254.6,<empty>,--,,215.49,129.71,"633,672,940",1.346

18 MAR 22  (5)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.40,.01,-.16,.17,"1,304",7.28,I,63.10%,6.80,X,7.10,B,14 APR 22,155,16.50,I,16.90,X,-.60,.01,-.16,.17,"2,358",14.85,N,62.50%,,
,,.33,.01,-.15,.16,"2,633",5.28,E,62.41%,5.15,N,5.55,B,14 APR 22,160,19.85,D,20.30,X,-.67,.01,-.15,.16,"1,829",18.45,C,61.66%,,
,,.27,.01,-.13,.14,"1,409",3.92,E,60.72%,3.80,X,4.00,B,14 APR 22,165,23.50,B,23.90,B,-.73,.01,-.13,.14,"1,725",22.00,Z,60.51%,,
,,.21,.01,-.12,.12,"1,575",2.85,M,59.85%,2.76,D,2.94,J,14 APR 22,170,26.90,B,27.85,B,-.79,.01,-.11,.12,"1,421",26.37,I,57.55%,,
,,.16,.01,-.10,.11,"2,624",2.05,E,58.72%,1.89,Z,2.12,B,14 APR 22,175,31.40,B,32.20,B,-.83,.01,-.10,.11,470,29.95,C,58.92%,,

22 APR 22  (40)  100 (Weeklys)
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.82,.01,-.12,.13,0,0, ,73.08%,28.50,X,29.65,Z,22 APR 22,120,3.45,X,3.70,P,-.18,.01,-.11,.12,44,3.25,D,70.23%,,
,,.78,.01,-.12,.14,5,20.05,D,68.88%,24.40,B,25.35,X,22 APR 22,125,4.55,X,4.90,X,-.22,.01,-.12,.14,71,4.02,I,68.82%,,
,,.73,.01,-.14,.16,3,15.10,N,67.62%,20.90,X,21.70,B,22 APR 22,130,5.75,X,6.20,X,-.27,.01,-.13,.16,135,5.20,Z,66.47%,,
,,.67,.01,-.15,.17,4,23.55,P,66.92%,17.80,N,18.40,B,22 APR 22,135,7.45,J,8.10,B,-.33,.01,-.14,.17,117,6.65,Z,65.87%,,
,,.61,.01,-.15,.18,56,19.52,X,65.24%,14.50,B,15.55,Z,22 APR 22,140,9.55,D,10.05,X,-.39,.01,-.15,.18,141,8.77,I,64.79%,,
,,.54,.01,-.15,.19,96,13.35,M,64.21%,12.00,X,12.75,B,22 APR 22,145,11.80,X,12.20,X,-.46,.01,-.15,.19,203,10.92,I,63.00%,,
,,.48,.01,-.15,.19,186,10.30,N,62.85%,9.75,Q,10.20,B,22 APR 22,150,14.45,D,14.95,B,-.52,.01,-.15,.19,104,13.40,Z,62.19%,,
,,.41,.01,-.15,.19,65,9.70,W,62.23%,7.70,Q,8.35,X,22 APR 22,155,17.40,D,17.90,P,-.59,.01,-.14,.19,26,15.60,N,61.04%,,
,,.35,.01,-.14,.18,75,6.50,N,61.09%,6.05,X,6.50,X,22 APR 22,160,20.65,D,21.15,X,-.65,.01,-.13,.18,20,19.49,C,59.88%,,
,,.29,.01,-.13,.17,62,6.00,A,60.34%,4.65,B,5.10,X,22 APR 22,165,24.20,X,24.90,X,-.71,.01,-.12,.16,1,21.68,M,59.42%,,
,,.24,.01,-.11,.15,63,4.05,N,58.93%,3.50,Q,3.75,A,22 APR 22,170,27.75,X,28.65,X,-.76,.01,-.10,.15,2,35.48,I,57.35%,,
,,.19,.01,-.10,.13,45,2.75,Q,58.39%,2.54,X,2.93,X,22 APR 22,175,31.85,X,34.55,Z,-.78,.01,-.11,.14,0,30.61,X,63.40%,,

29 APR 22  (47)  100 (Weeklys)
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.81,.01,-.11,.14,0,0, ,70.30%,29.05,X,29.90,M,29 APR 22,120,4.05,X,4.60,X,-.19,.01,-.11,.14,0,0, ,70.24%,,
,,.77,.01,-.12,.16,0,0, ,68.49%,25.20,X,26.10,X,29 APR 22,125,5.30,X,5.75,B,-.23,.01,-.12,.16,225,5.35,D,68.59%,,
,,.72,.01,-.13,.18,94,23.60,J,68.11%,22.05,Q,22.55,X,29 APR 22,130,6.80,X,7.10,B,-.28,.01,-.13,.18,85,5.95,D,66.93%,,
,,.66,.01,-.14,.19,5,21.00,D,67.28%,18.80,B,19.50,Z,29 APR 22,135,8.50,X,8.90,X,-.34,.01,-.13,.19,406,7.45,Q,65.67%,,
,,.61,.01,-.14,.20,0,0, ,65.32%,15.85,B,16.25,B,29 APR 22,140,10.50,X,11.00,B,-.39,.01,-.14,.20,14,9.55,N,64.54%,,
