Stock quote and option quote for ABNB on 3/13/22 23:37:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
145.14,Q,-6.66,144.51,P,145.18,P,1 x 1,"4,577,255",154.13,155.00,145.00

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"208,903",<empty>,-254.6,<empty>,--,,215.49,129.71,"633,672,940",1.346

18 MAR 22  (5)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.65,.01,-.05,.47,22,28.05,W,58.01%,32.80,X,33.90,A,16 DEC 22,135,21.55,X,22.45,X,-.35,.01,-.05,.47,551,21.45,Q,55.51%,,
,,.63,.01,-.05,.48,162,32.15,Q,57.46%,30.45,X,31.30,C,16 DEC 22,140,24.00,Z,24.80,X,-.37,.01,-.05,.48,133,23.35,N,54.78%,,
,,.60,.01,-.05,.49,19,24.50,Z,56.90%,28.15,X,28.90,X,16 DEC 22,145,26.45,X,27.05,X,-.40,.01,-.05,.49,246,24.50,C,53.69%,,
,,.57,.01,-.05,.50,53,23.70,M,56.70%,25.90,X,27.05,X,16 DEC 22,150,29.30,Z,29.80,X,-.43,.01,-.05,.50,710,27.95,C,53.25%,,
,,.54,.01,-.05,.50,41,28.00,X,55.89%,23.75,X,24.75,X,16 DEC 22,155,31.80,C,32.65,Q,-.46,.01,-.05,.50,144,30.28,C,52.31%,,
,,.52,.01,-.05,.50,177,23.85,M,56.05%,22.00,X,23.25,X,16 DEC 22,160,35.15,Z,35.95,X,-.49,.01,-.05,.50,340,33.45,W,52.42%,,
,,.49,.01,-.05,.51,144,23.15,X,54.88%,20.20,X,20.70,D,16 DEC 22,165,38.40,H,38.95,X,-.52,.01,-.05,.50,75,36.20,W,51.89%,,
,,.46,.01,-.05,.50,247,20.00,Q,54.48%,18.30,X,19.25,X,16 DEC 22,170,41.50,X,42.25,Q,-.55,.01,-.05,.50,527,49.00,N,51.28%,,
,,.44,.01,-.05,.50,78,20.30,N,54.12%,16.85,X,17.60,X,16 DEC 22,175,45.00,A,45.50,Q,-.57,.01,-.04,.49,124,28.58,C,50.79%,,

20 JAN 23  (313)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.73,.00,-.04,.44,658,43.60,N,59.89%,42.55,Q,43.80,X,20 JAN 23,120,16.05,D,16.30,B,-.26,.00,-.04,.44,"4,793",15.46,A,55.74%,,
,,.71,.00,-.04,.46,208,33.22,J,58.72%,39.65,Q,40.50,X,20 JAN 23,125,17.80,Z,18.70,X,-.29,.00,-.04,.46,"3,702",18.02,A,55.13%,,
,,.68,.00,-.04,.48,"1,318",38.20,D,57.74%,36.65,X,37.70,Z,20 JAN 23,130,20.20,H,20.55,B,-.32,.00,-.04,.48,"4,856",20.20,Z,54.36%,,
,,.66,.00,-.05,.49,463,35.19,E,57.30%,34.20,X,35.10,C,20 JAN 23,135,22.55,H,22.90,X,-.35,.01,-.04,.49,"6,287",22.23,M,53.79%,,
,,.63,.00,-.05,.51,865,32.50,Q,56.71%,31.80,C,32.55,X,20 JAN 23,140,24.85,X,25.40,H,-.37,.01,-.04,.51,"5,212",24.40,Q,53.06%,,
,,.60,.01,-.05,.52,592,30.40,X,54.98%,28.25,X,30.20,C,20 JAN 23,145,27.55,H,28.00,Q,-.40,.01,-.04,.52,"4,090",27.25,D,52.58%,,
,,.58,.01,-.05,.53,"1,910",27.74,X,56.00%,27.50,X,28.15,X,20 JAN 23,150,30.30,X,30.90,X,-.43,.01,-.04,.52,"6,327",29.54,N,52.19%,,
,,.55,.01,-.05,.53,931,26.82,W,55.12%,25.25,X,25.85,D,20 JAN 23,155,33.05,X,33.75,E,-.46,.01,-.04,.53,"2,687",32.00,C,51.52%,,
,,.52,.01,-.05,.54,981,26.40,I,54.59%,23.20,X,23.95,X,20 JAN 23,160,36.05,X,36.75,T,-.48,.01,-.04,.53,"6,721",35.24,N,51.01%,,
,,.50,.01,-.05,.54,557,23.01,M,53.96%,21.35,X,21.95,D,20 JAN 23,165,39.30,X,39.75,Q,-.51,.01,-.04,.53,"6,223",38.65,N,50.51%,,
,,.47,.01,-.05,.53,"2,508",21.40,N,53.69%,19.80,X,20.25,P,20 JAN 23,170,42.50,X,43.05,Q,-.54,.01,-.04,.53,"5,924",40.62,C,50.04%,,
,,.45,.01,-.05,.53,"1,195",19.11,X,53.18%,18.00,X,18.75,H,20 JAN 23,175,45.75,X,46.45,Q,-.56,.01,-.04,.52,"2,456",44.06,C,49.51%,,

16 JUN 23  (460)  100

19 JAN 24  (677)  100
,,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Delta,Gamma,Theta,Vega,Open.Int,LAST,LX,Impl Vol,,
,,.74,.00,-.03,.65,87,60.30,E,57.11%,50.30,X,57.35,X,19 JAN 24,120,20.55,X,26.15,X,-.27,.00,-.02,.65,713,21.29,I,49.00%,,
,,.72,.00,-.03,.67,44,43.40,N,56.98%,48.10,X,55.05,X,19 JAN 24,125,24.30,X,28.55,X,-.29,.00,-.02,.67,958,25.95,M,49.65%,,
,,.70,.00,-.03,.69,128,48.00,N,56.27%,45.50,X,52.55,X,19 JAN 24,130,26.45,X,31.05,X,-.31,.00,-.02,.69,77,33.47,Q,49.00%,,
,,.68,.00,-.03,.70,67,47.65,B,55.63%,42.85,X,50.35,X,19 JAN 24,135,27.75,X,33.55,X,-.33,.00,-.02,.71,683,33.60,C,47.63%,,
,,.67,.00,-.03,.72,249,49.80,I,56.46%,42.90,X,47.70,X,19 JAN 24,140,29.50,X,36.25,X,-.35,.00,-.02,.73,"1,869",33.42,Z,46.63%,,
,,.65,.00,-.03,.73,156,45.50,N,56.01%,41.30,Z,45.05,Z,19 JAN 24,145,32.65,X,39.05,X,-.37,.00,-.03,.74,90,40.17,A,46.54%,,
,,.63,.00,-.03,.75,273,42.85,X,55.74%,40.00,B,42.50,Z,19 JAN 24,150,36.10,X,41.20,Q,-.39,.00,-.03,.75,"1,674",38.37,C,46.08%,,
,,.61,.00,-.03,.76,411,39.58,A,55.03%,37.30,X,40.85,X,19 JAN 24,155,40.00,X,44.20,X,-.41,.00,-.03,.76,810,41.80,D,46.37%,,
,,.60,.00,-.03,.77,447,39.45,C,54.57%,35.60,Z,38.70,Z,19 JAN 24,160,43.60,X,47.60,Z,-.43,.00,-.03,.76,737,49.93,M,46.60%,,
,,.58,.00,-.03,.77,193,36.46,M,54.67%,34.15,Q,37.30,Z,19 JAN 24,165,47.20,X,50.45,Z,-.45,.00,-.03,.77,214,50.47,C,46.36%,,
,,.56,.00,-.03,.78,295,37.00,Z,54.74%,32.00,Z,36.70,X,19 JAN 24,170,51.90,N,53.75,Z,-.46,.00,-.03,.77,716,50.80,N,47.03%,,
,,.54,.00,-.03,.78,302,32.13,M,52.65%,28.90,X,33.80,Z,19 JAN 24,175,53.40,X,57.20,Z,-.49,.00,-.03,.77,"2,918",61.55,Z,45.62%,,
